SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M22P000379,5/31/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P00038,1/12/22,Santa Cruz Wharf,MUSS,<,34,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000385,6/1/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000386,6/6/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000387,6/6/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000388,6/6/22,"Tomales Bay, Lease #M430-17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P00039,1/17/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000391,6/4/22,"Bodega Bay, Shorttail Gulch",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.302938,-123.013176
M22P000395,6/2/22,Bean Hollow State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.2243,-122.4095
M22P000396,6/2/22,Schoolhouse Beach,MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.375,-123.079084
M22P00040,1/17/22,"Tomales Bay, Lease #M430-06-M",MUBC,<,35,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000404,6/8/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000405,6/9/22,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M22P000406,6/9/22,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M22P000407,6/13/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000408,6/13/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000409,6/13/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P00041,1/17/22,"Tomales Bay, Lease #M430-15-M",MUSS,<,32,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000413,6/10/22,"Santa Cruz, Davenport Landing",MUSW,n,,Santa Cruz,"Sea Mussel, wild",Mytilus californianus,37.024226,-122.21606
M22P000418,6/15/22,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M22P000419,6/17/22,"Pacifica, Mori Point",MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.620128,-122.498959
M22P000420,6/17/22,China Beach,MUSW,n,,San Francisco,"Sea Mussel, wild",Mytilus californianus,37.787573,-122.494628
M22P000422,6/20/22,"Tomales Bay, Lease #M430-17",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M22P000423,6/20/22,"Tomales Bay, Lease #M430-15-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.2176,-122.9437
M22P000424,6/20/22,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M22P000434,6/15/22,"Jenner, Russian Gulch Beach",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.460422,-123.151906
