SRL #,Date -Sampled-,Sample Site,Shellfish -code-,Mod-PSP Median,PSP -ug/100 g-,County,Sample Type,Species,Latitude,Longitude
M14P00001,1/2/14,"Drakes Estero, Bed #20",OYPC,,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00002,1/2/14,"Drakes Estero, Bed #12-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00003,1/2/14,"Drakes Estero, Bed #12-M",MUSS,<,35,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00004,1/2/14,"Drakes Estero, Channel Buoy",MUSS,,42,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00005,1/2/14,"Tomales Bay, Lease #M430-06-O",OYPC,,71,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00006,1/2/14,"Tomales Bay, Lease #M430-06-M",MUBC,,233,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00007,1/2/14,"Tomales Bay, Lease #M430-05-O",OYPC,,40,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.11535,-122.85936
M14P00014,1/2/14,"Tomales Bay, Lease #M430-17",OYPC,,70,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00015,1/6/14,"Tomales Bay, Lease #M430-04",OYPC,,44,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00023,1/6/14,"Tomales Bay, Lease #M430-14",OYPC,,49,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M14P00024,1/6/14,"Tomales Bay, Lease #M430-17",OYPC,,42,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00028,1/6/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,35,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00029,1/6/14,"Tomales Bay, Lease #M430-06-M",MUBC,,248,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00030,1/6/14,"Tomales Bay, Lease #M430-06-O",OYPC,,39,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00031,1/6/14,"Monterey Bay, Commercial Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.605724,-121.889411
M14P00032,1/6/14,"Tomales Bay, Lease #M430-19",OYPC,,55,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00035,1/8/14,"Tomales Bay, Lease #M430-11-O",OYPC,,68,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2095,-122.9382
M14P00039,1/7/14,"Drakes Estero, Bed #4",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.07153,-122.93551
M14P00040,1/7/14,"Drakes Estero, Bed #12-O",OYPC,,52,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00041,1/7/14,"Drakes Estero, Bed #12-M",MUSS,,45,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00042,1/7/14,"Drakes Estero, Channel Buoy",MUSS,,117,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00043,1/9/14,"Tomales Bay, Lease #M430-05-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.11535,-122.85936
M14P00044,1/9/14,"Tomales Bay, Lease #M430-04",OYPC,,43,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00045,1/9/14,"Tomales Bay, Lease #M430-17",OYPC,,42,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00046,1/9/14,"Drakes Estero, Bed #7",OYPC,,46,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06081,-122.92932
M14P00047,1/9/14,"Drakes Estero, Bed #12-O",OYPC,,43,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00048,1/9/14,"Drakes Estero, Bed #12-M",MUSS,,47,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00049,1/9/14,"Drakes Estero, Channel Buoy",MUSS,,132,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00050,1/9/14,"Tomales Bay, Lease #M430-06-O",OYPC,,43,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00051,1/9/14,"Tomales Bay, Lease #M430-06-M",MUBC,,91,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00052,1/9/14,"Tomales Bay, Lease #M430-19",OYPC,,50,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00053,1/8/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00054,1/12/14,"Drakes Estero, Bed #8",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06649,-122.93871
M14P00055,1/12/14,"Drakes Estero, Bed #12-O",OYPC,,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00056,1/12/14,"Drakes Estero, Bed #12-M",MUSS,,47,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00057,1/12/14,"Drakes Estero, Channel Buoy",MUSS,,62,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00058,1/13/14,"Tomales Bay, Lease #M430-05-O",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.11535,-122.85936
M14P00059,1/13/14,"Tomales Bay, Lease #M430-11-O",OYPC,,38,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2095,-122.9382
M14P00060,1/13/14,"Tomales Bay, Lease #M430-12",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.1254,-122.8668
M14P00061,1/13/14,"Mussel Rock, San Mateo",MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.66728,-122.497403
M14P00062,1/13/14,"Tomales Bay, Lease #M430-06-M",MUBC,,109,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00063,1/13/14,"Tomales Bay, Lease #M430-06-O",OYPC,,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00064,1/13/14,"Tomales Bay, Lease #M430-19",OYPC,,42,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00067,1/13/14,"Tomales Bay, Lease #M430-14",OYPC,,41,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M14P00068,1/13/14,"Tomales Bay, Lease #M430-17",OYPC,,37,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00074,1/13/14,"Tomales Bay, Lawson's Landing",MUSS,,42,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.231233,-122.968118
M14P00079,1/13/14,"Bodega Harbor, USCG Dock",MUSS,,41,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M14P00080,1/13/14,Schoolhouse Beach,MUSW,,38,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.375,-123.079084
M14P00081,1/14/14,"Tomales Bay, Lease #M430-04",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00086,1/16/14,"Tomales Bay, Lease #M430-17",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.20509,-122.93105
M14P00087,1/16/14,"Tomales Bay, Lease #M430-15-M",MUBC,,46,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00089,1/15/14,"Drakes Estero, Bed #7",OYPC,,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06081,-122.92932
M14P00090,1/15/14,"Drakes Estero, Bed #12-M",MUSS,,47,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00091,1/15/14,"Drakes Estero, Bed #12-O",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00092,1/15/14,"Drakes Estero, Channel Buoy",MUSS,,47,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00095,1/17/14,"Tomales Bay, Lease #M430-04",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00096,1/16/14,"Tomales Bay, Lease #M430-05-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.11535,-122.85936
M14P00099,1/16/14,"Tomales Bay, Lease #M430-19",OYPC,,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00100,1/16/14,"Tomales Bay, Lease #M430-06-M",MUBC,,68,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00101,1/16/14,"Tomales Bay, Lease #M430-06-O",OYPC,,37,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00103,1/16/14,"Drakes Bay, Chimney Rock LBS",MUSS,,52,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M14P00104,1/20/14,"Tomales Bay, Lease #M430-11-O",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2095,-122.9382
M14P00105,1/20/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,33,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00106,1/20/14,"Drakes Estero, Bed #7",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06081,-122.92932
M14P00107,1/20/14,"Drakes Estero, Bed #12-M",MUSS,,43,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00108,1/20/14,"Drakes Estero, Channel Buoy",MUSS,,68,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00109,1/20/14,"Drakes Estero, Bed #12-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00115,1/21/14,"Tomales Bay, Lease #M430-19",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00116,1/21/14,"Tomales Bay, Lease #M430-06-M",MUBC,,65,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00117,1/21/14,"Tomales Bay, Lease #M430-06-O",OYPC,<,32,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00121,1/16/14,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00123,1/22/14,"Tomales Bay, Lease #M430-04",OYPC,,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00124,1/22/14,"Tomales Bay, Lease #M430-14",OYPC,,49,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M14P00128,1/27/14,"Tomales Bay, Lease #M430-04",OYPC,<,32,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00134,1/25/14,Fort Ross,MUSW,<,36,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.5125,-123.255071
M14P00135,1/25/14,"Bodega Harbor, Spud Pt Marina",MUSW,<,34,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.3305,-123.0579
M14P00136,1/27/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,33,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00137,1/28/14,Schoolhouse Beach,MUSW,,38,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.375,-123.079084
M14P00138,1/28/14,"Bodega Harbor, USCG Dock",MUSS,<,36,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M14P00139,1/28/14,"Drakes Estero, Bed #21",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.05705,-122.94745
M14P00140,1/28/14,"Drakes Estero, Channel Buoy",MUSS,,47,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00141,1/28/14,"Drakes Estero, Bed #12-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00142,1/28/14,"Drakes Estero, Bed #12-M",MUSS,,41,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00148,1/28/14,"Tomales Bay, Lease #M430-19",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.12905,-122.86849
M14P00149,1/28/14,"Tomales Bay, Lease #M430-06-O",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00150,1/28/14,"Tomales Bay, Lease #M430-06-M",MUBC,,45,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00151,1/29/14,"Tomales Bay, Lease #M430-14",OYPC,,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.174389,-122.906899
M14P00155,1/22/14,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00156,1/29/14,Santa Cruz Wharf,MUSS,<,35,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00165,2/4/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00166,2/4/14,"Tomales Bay, Lease #M430-06-M",MUBC,,36,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00167,2/4/14,"Tomales Bay, Lease #M430-06-O",OYPC,<,36,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00171,2/4/14,"Drakes Estero, Bed #12-O",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00172,2/4/14,"Drakes Estero, Bed #17",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00173,2/4/14,"Drakes Estero, Bed #12-M",MUSS,,35,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00174,2/4/14,"Drakes Estero, Channel Buoy",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00179,2/5/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00180,2/10/14,"Tomales Bay, Lease #M430-04",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00189,2/10/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00190,2/10/14,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00191,2/10/14,"Tomales Bay, Lease #M430-06-O",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.139,-122.8783
M14P00192,2/11/14,"Drakes Estero, Bed #12-O",OYPC,<,35,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00193,2/11/14,"Drakes Estero, Bed #12-M",MUSS,<,34,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00194,2/11/14,"Drakes Estero, Channel Buoy",MUSS,<,35,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00195,2/11/14,"Drakes Estero, Bed #31",OYPC,<,34,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00201,1/25/14,"Shell Beach, Sonoma",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.421107,-123.113218
M14P00204,2/13/14,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M14P00206,2/17/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00207,2/17/14,"Tomales Bay, Lease #M430-06-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00214,2/12/14,Pescadero State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.267295,-122.411721
M14P00215,1/15/14,Pescadero State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.267295,-122.411721
M14P00216,2/12/14,Pillar Point,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.4958,-122.49721
M14P00219,2/18/14,"Drakes Estero, Channel Buoy",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00220,2/18/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00221,2/18/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00222,2/18/14,"Drakes Estero, Bed #21",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.05705,-122.94745
M14P00224,2/20/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00225,2/12/14,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00226,2/19/14,Santa Cruz Wharf,MUSS,n,,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00232,2/22/14,"Stillwater Cove, Sonoma",MUSW,n,,Sonoma,"Sea Mussel, wild",Mytilus californianus,38.546789,-123.297854
M14P00237,2/24/14,"Tomales Bay, Lease #M430-06-M",MUBC,<,36,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00238,2/24/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00239,2/25/14,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M14P00240,2/25/14,Kehoe Beach,MUSW,n,,Marin,"Sea Mussel, wild",Mytilus californianus,38.158269,-122.950777
M14P00244,2/25/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00245,2/25/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00246,2/25/14,"Drakes Estero, Channel Buoy",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00247,2/25/14,"Drakes Estero, Bed #20",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00249,2/17/14,"Stinson Beach, Red Rock Beach",MUSW,<,36,Marin,"Sea Mussel, wild",Mytilus californianus,37.888778,-122.633123
M14P00250,2/26/14,Pescadero State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.267295,-122.411721
M14P00251,2/26/14,Pillar Point,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.4958,-122.49721
M14P00254,2/28/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00255,3/3/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00263,3/3/14,"Tomales Bay, Lease #M430-06-M",MUBC,<,35,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00264,3/4/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00268,3/4/14,"Drakes Estero, Bed #6",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06308,-122.93453
M14P00269,3/4/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00270,3/4/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00271,3/4/14,"Drakes Estero, Channel Buoy",MUSS,<,34,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00274,3/5/14,"Bodega Harbor, USCG Dock",MUSS,n,,Sonoma,"Sea Mussel, Sentinel",Mytilus californianus,38.3127654,-123.051303
M14P00275,3/6/14,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M14P00276,3/10/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00286,3/10/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00287,3/10/14,"Tomales Bay, Lease #M430-06-M",MUBC,<,35,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00294,3/11/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00295,3/11/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00296,3/11/14,"Drakes Estero, Bed #7",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.06081,-122.92932
M14P00297,3/11/14,"Drakes Estero, Channel Buoy",MUSS,,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00301,3/5/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00302,3/12/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00303,2/26/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00304,3/17/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00312,3/17/14,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00313,3/17/14,"Tomales Bay, Lease #M430-15-M",MUBC,<,34,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00317,3/18/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00318,3/18/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00319,3/18/14,"Drakes Estero, Channel Buoy",MUSS,<,36,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00320,3/18/14,"Drakes Estero, Bed #11-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.05932,-122.94251
M14P00323,3/19/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00329,3/12/14,Pescadero State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.267295,-122.411721
M14P00330,3/12/14,Pillar Point,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.4958,-122.49721
M14P00331,3/20/14,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
M14P00332,3/25/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00333,3/24/14,"Tomales Bay, Lease #M430-06-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.139,-122.8783
M14P00336,3/24/14,"Drakes Estero, Channel Buoy",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00337,3/24/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00338,3/24/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00339,3/24/14,"Drakes Estero, Bed #11-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.05932,-122.94251
M14P00342,3/25/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00344,3/25/14,Pescadero State Beach,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.267295,-122.411721
M14P00345,3/25/14,Pillar Point,MUSW,n,,San Mateo,"Sea Mussel, wild",Mytilus californianus,37.4958,-122.49721
M14P00347,3/27/14,"Monterey Bay, Commercial Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.605724,-121.889411
M14P00354,3/29/14,"Monterey Bay, Fishermans Wharf",MUSW,n,,Monterey,"Sea Mussel, wild",Mytilus californianus,36.60576,-121.892454
M14P00356,3/26/14,Santa Cruz Wharf,MUSS,<,36,Santa Cruz,"Sea Mussel, Sentinel",Mytilus californianus,36.957391,-122.017638
M14P00358,3/31/14,"Tomales Bay, Lease #M430-15-M",MUBC,n,,Marin,"Bay Mussel, cultured",Mytilus galloprovincialis,38.2176,-122.9437
M14P00361,3/30/14,"Santa Cruz, Four Mile Beach",MUSW,n,,Santa Cruz,"Sea Mussel, wild",Mytilus californianus,36.964055,-122.123653
M14P00364,4/1/14,"Drakes Estero, Bed #17",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,,
M14P00365,4/1/14,"Drakes Estero, Bed #12-M",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.0591,-122.9405
M14P00366,4/1/14,"Drakes Estero, Bed #12-O",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.0591,-122.9405
M14P00367,4/1/14,"Drakes Estero, Channel Buoy",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,38.046206,-122.939838
M14P00368,4/1/14,"Tomales Bay, Lease #M430-04",OYPC,n,,Marin,"Pacific Oyster, cultured",Crassostrea gigas,38.2105,-122.9396
M14P00369,4/2/14,"Drakes Bay, Chimney Rock LBS",MUSS,n,,Marin,"Sea Mussel, Sentinel",Mytilus californianus,37.994808,-122.973274
